Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164749398848.259	,1784164749398848.259	
0,N/A,TASK_TIMEOUT_SET,49,4,95.461,1784164749412477.352	,1784164749412572.814	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,0,27.960,1784164749497768.036	,1784164749497795.996	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,1,8.940,1784164749497931.599	,1784164749497940.539	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,2,8.960,1784164749497962.760	,1784164749497971.720	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,3,9.180,1784164749497972.440	,1784164749497981.620	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,4,8.980,1784164749497982.340	,1784164749497991.320	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,5,8.880,1784164749497992.040	,1784164749498000.920	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,6,9.060,1784164749498001.620	,1784164749498010.681	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,7,9.100,1784164749498011.381	,1784164749498020.481	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,8,8.840,1784164749498021.141	,1784164749498029.981	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,9,9.020,1784164749498030.641	,1784164749498039.661	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,10,9.080,1784164749498040.321	,1784164749498049.401	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,11,9.000,1784164749498050.081	,1784164749498059.082	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,12,8.900,1784164749498059.762	,1784164749498068.662	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,13,8.820,1784164749498069.322	,1784164749498078.142	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,14,9.040,1784164749498078.842	,1784164749498087.882	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,15,8.960,1784164749498088.582	,1784164749498097.542	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,16,8.760,1784164749498098.242	,1784164749498107.003	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,17,8.980,1784164749498107.683	,1784164749498116.663	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,18,9.020,1784164749498117.343	,1784164749498126.363	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,19,8.800,1784164749498127.023	,1784164749498135.823	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,20,8.820,1784164749498136.483	,1784164749498145.303	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,21,9.020,1784164749498145.983	,1784164749498155.004	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,22,8.920,1784164749498155.684	,1784164749498164.604	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,23,9.000,1784164749498165.264	,1784164749498174.264	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,24,8.880,1784164749498174.944	,1784164749498183.824	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,25,8.660,1784164749498184.484	,1784164749498193.144	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,26,8.900,1784164749498193.824	,1784164749498202.724	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,27,9.260,1784164749498203.384	,1784164749498212.645	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,28,8.620,1784164749498213.325	,1784164749498221.945	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,29,8.680,1784164749498222.605	,1784164749498231.285	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,30,8.840,1784164749498231.965	,1784164749498240.805	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,31,8.860,1784164749498241.465	,1784164749498250.325	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,32,8.900,1784164749498251.005	,1784164749498259.906	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,33,8.880,1784164749498260.606	,1784164749498269.486	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,34,9.080,1784164749498270.186	,1784164749498279.266	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,35,9.100,1784164749498279.966	,1784164749498289.066	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,36,9.380,1784164749498289.766	,1784164749498299.146	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,37,8.940,1784164749498299.846	,1784164749498308.787	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,38,9.040,1784164749498309.487	,1784164749498318.527	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,39,9.080,1784164749498319.227	,1784164749498328.307	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,40,8.700,1784164749498329.007	,1784164749498337.707	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,41,8.960,1784164749498338.407	,1784164749498347.367	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,42,9.040,1784164749498348.047	,1784164749498357.088	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,43,9.080,1784164749498357.788	,1784164749498366.868	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,44,8.800,1784164749498367.568	,1784164749498376.368	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,45,8.840,1784164749498377.088	,1784164749498385.928	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,46,9.020,1784164749498386.628	,1784164749498395.648	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,47,8.880,1784164749498396.348	,1784164749498405.229	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,48,8.760,1784164749498405.909	,1784164749498414.669	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,49,8.760,1784164749498415.369	,1784164749498424.129	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,50,8.940,1784164749498424.829	,1784164749498433.769	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,51,8.940,1784164749498434.469	,1784164749498443.409	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,52,8.800,1784164749498444.109	,1784164749498452.909	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,53,9.140,1784164749498453.589	,1784164749498462.730	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,54,8.920,1784164749498463.430	,1784164749498472.350	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,55,9.180,1784164749498473.050	,1784164749498482.230	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,56,8.700,1784164749498482.930	,1784164749498491.630	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,57,8.620,1784164749498492.330	,1784164749498500.950	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,58,8.920,1784164749498501.650	,1784164749498510.571	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,59,9.240,1784164749498511.271	,1784164749498520.511	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,60,8.680,1784164749498521.211	,1784164749498529.891	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,61,8.700,1784164749498530.591	,1784164749498539.291	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,62,8.700,1784164749498539.991	,1784164749498548.691	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,63,8.940,1784164749498549.391	,1784164749498558.332	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,64,8.880,1784164749498559.032	,1784164749498567.912	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,65,8.820,1784164749498568.612	,1784164749498577.432	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,66,8.900,1784164749498578.132	,1784164749498587.032	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,67,9.080,1784164749498587.752	,1784164749498596.832	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,68,8.800,1784164749498597.532	,1784164749498606.333	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,69,9.000,1784164749498607.033	,1784164749498616.033	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,70,9.000,1784164749498616.753	,1784164749498625.753	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,71,9.020,1784164749498626.453	,1784164749498635.473	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,72,8.920,1784164749498636.173	,1784164749498645.093	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,73,9.120,1784164749498645.813	,1784164749498654.934	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,74,9.140,1784164749498655.654	,1784164749498664.794	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,75,9.140,1784164749498665.494	,1784164749498674.634	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,76,8.900,1784164749498675.354	,1784164749498684.254	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,77,8.940,1784164749498684.954	,1784164749498693.894	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,78,9.100,1784164749498694.594	,1784164749498703.694	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,79,9.140,1784164749498704.394	,1784164749498713.535	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,80,8.640,1784164749498714.235	,1784164749498722.875	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,81,8.820,1784164749498723.575	,1784164749498732.395	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,82,8.840,1784164749498733.095	,1784164749498741.935	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,83,8.780,1784164749498742.635	,1784164749498751.415	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,84,8.720,1784164749498752.115	,1784164749498760.836	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,85,8.720,1784164749498761.536	,1784164749498770.256	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,86,8.900,1784164749498770.976	,1784164749498779.876	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,87,8.900,1784164749498780.576	,1784164749498789.476	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,88,9.040,1784164749498790.196	,1784164749498799.236	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,89,8.720,1784164749498799.936	,1784164749498808.657	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,90,8.920,1784164749498809.357	,1784164749498818.277	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,91,8.960,1784164749498818.997	,1784164749498827.957	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,92,8.720,1784164749498828.657	,1784164749498837.377	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,93,8.700,1784164749498838.097	,1784164749498846.797	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,94,8.940,1784164749498847.497	,1784164749498856.438	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,95,8.980,1784164749498857.138	,1784164749498866.118	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,96,8.940,1784164749498866.858	,1784164749498875.798	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,97,8.780,1784164749498876.578	,1784164749498885.358	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,98,9.060,1784164749498886.058	,1784164749498895.118	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,99,9.200,1784164749498895.818	,1784164749498905.019	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,100,9.160,1784164749498905.719	,1784164749498914.879	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,101,8.840,1784164749498915.619	,1784164749498924.459	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,102,9.100,1784164749498925.159	,1784164749498934.259	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,103,9.020,1784164749498934.999	,1784164749498944.019	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,104,9.000,1784164749498944.719	,1784164749498953.719	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,105,8.960,1784164749498954.479	,1784164749498963.440	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,106,9.140,1784164749498964.140	,1784164749498973.280	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,107,9.120,1784164749498973.980	,1784164749498983.100	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,108,8.900,1784164749498983.800	,1784164749498992.700	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,109,8.880,1784164749498993.400	,1784164749499002.280	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,110,9.180,1784164749499002.980	,1784164749499012.161	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,111,8.780,1784164749499012.861	,1784164749499021.641	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,112,8.720,1784164749499022.341	,1784164749499031.061	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,113,8.760,1784164749499031.801	,1784164749499040.561	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,114,9.060,1784164749499041.261	,1784164749499050.321	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,115,9.000,1784164749499051.021	,1784164749499060.022	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,116,8.580,1784164749499060.762	,1784164749499069.342	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,117,8.880,1784164749499070.042	,1784164749499078.922	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,118,8.900,1784164749499079.622	,1784164749499088.522	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,119,8.940,1784164749499089.222	,1784164749499098.162	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,120,8.720,1784164749499098.862	,1784164749499107.583	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,121,8.800,1784164749499108.323	,1784164749499117.123	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,122,8.960,1784164749499117.823	,1784164749499126.783	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,123,8.980,1784164749499127.483	,1784164749499136.463	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,124,8.720,1784164749499137.163	,1784164749499145.883	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,125,8.800,1784164749499146.583	,1784164749499155.384	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,126,8.700,1784164749499156.084	,1784164749499164.784	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,127,8.980,1784164749499165.484	,1784164749499174.464	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,128,8.620,1784164749499175.164	,1784164749499183.784	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,129,8.700,1784164749499184.524	,1784164749499193.224	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,130,8.800,1784164749499193.924	,1784164749499202.724	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,131,8.940,1784164749499203.444	,1784164749499212.385	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,132,8.700,1784164749499213.105	,1784164749499221.805	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,133,8.620,1784164749499222.505	,1784164749499231.125	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,134,8.980,1784164749499231.825	,1784164749499240.805	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,135,8.900,1784164749499241.505	,1784164749499250.405	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,136,8.680,1784164749499251.105	,1784164749499259.786	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,137,8.900,1784164749499260.526	,1784164749499269.426	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,138,9.060,1784164749499270.126	,1784164749499279.186	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,139,8.960,1784164749499279.886	,1784164749499288.846	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,140,8.720,1784164749499289.566	,1784164749499298.286	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,141,8.700,1784164749499298.986	,1784164749499307.687	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,142,8.940,1784164749499308.387	,1784164749499317.327	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,143,8.980,1784164749499318.027	,1784164749499327.007	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,144,8.920,1784164749499327.707	,1784164749499336.627	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,145,8.960,1784164749499337.367	,1784164749499346.327	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,146,9.280,1784164749499347.027	,1784164749499356.308	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,147,8.940,1784164749499357.008	,1784164749499365.948	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,148,8.900,1784164749499366.648	,1784164749499375.548	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,149,8.880,1784164749499376.248	,1784164749499385.128	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,150,9.020,1784164749499385.828	,1784164749499394.848	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,151,9.200,1784164749499395.548	,1784164749499404.748	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,152,9.100,1784164749499405.449	,1784164749499414.549	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,153,8.840,1784164749499415.289	,1784164749499424.129	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,154,9.060,1784164749499424.829	,1784164749499433.889	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,155,9.040,1784164749499434.589	,1784164749499443.629	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,156,8.800,1784164749499444.329	,1784164749499453.129	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,157,8.820,1784164749499453.829	,1784164749499462.650	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,158,9.060,1784164749499463.350	,1784164749499472.410	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,159,9.040,1784164749499473.110	,1784164749499482.150	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,160,8.800,1784164749499482.870	,1784164749499491.670	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,161,8.700,1784164749499492.370	,1784164749499501.070	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,162,8.920,1784164749499501.730	,1784164749499510.651	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,163,8.960,1784164749499511.311	,1784164749499520.271	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,164,8.900,1784164749499520.931	,1784164749499529.831	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,165,8.720,1784164749499530.511	,1784164749499539.231	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,166,8.940,1784164749499539.891	,1784164749499548.831	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,167,8.960,1784164749499549.511	,1784164749499558.472	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,168,8.700,1784164749499559.152	,1784164749499567.852	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,169,8.680,1784164749499568.572	,1784164749499577.252	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,170,8.920,1784164749499577.932	,1784164749499586.852	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,171,8.880,1784164749499587.512	,1784164749499596.392	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,172,8.680,1784164749499597.072	,1784164749499605.753	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,173,8.660,1784164749499606.473	,1784164749499615.133	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,174,8.880,1784164749499615.813	,1784164749499624.693	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,175,8.620,1784164749499625.393	,1784164749499634.013	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,176,8.960,1784164749499634.693	,1784164749499643.653	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,177,8.960,1784164749499644.353	,1784164749499653.313	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,178,9.120,1784164749499653.973	,1784164749499663.094	
