Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177218856521.005	,1784177218856521.025	
0,N/A,TASK_TIMEOUT_SET,49,4,90.501,1784177218862895.393	,1784177218862985.894	
0,N/A,KERNEL_AICPU,43,0,3161.403,1784177220813328.982	,1784177220816490.386	
0,N/A,EVENT_WAIT,43,1,6.560,1784177220816708.850	,1784177220816715.410	
0,N/A,EVENT_RECORD,46,0,0.020,1784177220816714.950	,1784177220816714.970	
0,N/A,EVENT_WAIT,42,0,0.020,1784177220816716.190	,1784177220816716.210	
0,N/A,KERNEL_AICPU,42,1,215.384,1784177220816722.850	,1784177220816938.234	
0,N/A,KERNEL_AICPU,43,2,244.024,1784177220816734.570	,1784177220816978.595	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,132.122,1784177220816836.712	,1784177220816968.835	
0,N/A,EVENT_RECORD,46,2,0.020,1784177220817264.401	,1784177220817264.421	
0,N/A,EVENT_WAIT,43,3,0.020,1784177220817265.021	,1784177220817265.041	
0,N/A,EVENT_WAIT,42,2,0.020,1784177220817271.521	,1784177220817271.541	
0,N/A,KERNEL_AICPU,42,3,91.361,1784177220817278.121	,1784177220817369.483	
0,N/A,KERNEL_AICPU,43,4,116.642,1784177220817284.721	,1784177220817401.364	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,103.202,1784177220817291.822	,1784177220817395.024	
0,N/A,EVENT_WAIT,43,5,2.860,1784177220817501.046	,1784177220817503.906	
0,N/A,EVENT_RECORD,46,4,0.020,1784177220817503.466	,1784177220817503.486	
0,N/A,EVENT_WAIT,42,4,0.020,1784177220817508.246	,1784177220817508.266	
0,N/A,KERNEL_AICPU,42,5,56.681,1784177220817514.826	,1784177220817571.507	
0,N/A,KERNEL_AICPU,43,6,87.721,1784177220817516.306	,1784177220817604.028	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,70.681,1784177220817528.826	,1784177220817599.508	
0,N/A,EVENT_RECORD,46,6,0.020,1784177220817715.230	,1784177220817715.250	
0,N/A,EVENT_WAIT,43,7,0.000,1784177220817722.570	,1784177220817722.570	
0,N/A,EVENT_WAIT,42,6,0.020,1784177220817726.850	,1784177220817726.870	
0,N/A,KERNEL_AICPU,42,7,48.860,1784177220817733.370	,1784177220817782.231	
0,N/A,KERNEL_AICPU,43,8,68.081,1784177220817735.130	,1784177220817803.212	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,55.561,1784177220817743.391	,1784177220817798.952	
0,N/A,EVENT_RECORD,46,8,0.020,1784177220817913.614	,1784177220817913.634	
0,N/A,EVENT_WAIT,43,9,0.000,1784177220817915.154	,1784177220817915.154	
0,N/A,EVENT_WAIT,42,8,0.020,1784177220817919.494	,1784177220817919.514	
0,N/A,KERNEL_AICPU,42,9,38.720,1784177220817926.154	,1784177220817964.875	
0,N/A,KERNEL_AICPU,43,10,70.281,1784177220817926.994	,1784177220817997.276	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,51.221,1784177220817939.754	,1784177220817990.975	
0,N/A,EVENT_WAIT,43,11,2.800,1784177220818119.918	,1784177220818122.718	
0,N/A,EVENT_RECORD,46,10,0.020,1784177220818122.258	,1784177220818122.278	
0,N/A,EVENT_WAIT,42,10,0.020,1784177220818127.058	,1784177220818127.078	
0,N/A,KERNEL_AICPU,42,11,32.920,1784177220818133.638	,1784177220818166.559	
0,N/A,KERNEL_AICPU,43,12,62.521,1784177220818135.338	,1784177220818197.860	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,44.180,1784177220818147.359	,1784177220818191.540	
0,N/A,EVENT_WAIT,43,13,2.500,1784177220818326.222	,1784177220818328.722	
0,N/A,EVENT_RECORD,46,12,0.020,1784177220818328.282	,1784177220818328.302	
0,N/A,EVENT_WAIT,42,12,0.020,1784177220818333.382	,1784177220818333.402	
0,N/A,KERNEL_AICPU,42,13,39.940,1784177220818339.902	,1784177220818379.843	
0,N/A,KERNEL_AICPU,43,14,60.401,1784177220818341.222	,1784177220818401.624	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,43.220,1784177220818354.003	,1784177220818397.224	
0,N/A,EVENT_WAIT,43,15,2.360,1784177220818518.306	,1784177220818520.666	
0,N/A,EVENT_RECORD,46,14,0.020,1784177220818520.206	,1784177220818520.226	
0,N/A,EVENT_WAIT,42,14,0.000,1784177220818525.366	,1784177220818525.366	
0,N/A,KERNEL_AICPU,42,15,35.200,1784177220818531.866	,1784177220818567.067	
0,N/A,KERNEL_AICPU,43,16,56.821,1784177220818539.066	,1784177220818595.888	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,44.620,1784177220818545.927	,1784177220818590.547	
0,N/A,EVENT_WAIT,43,17,2.880,1784177220818699.130	,1784177220818702.010	
0,N/A,EVENT_RECORD,46,16,0.020,1784177220818701.330	,1784177220818701.350	
0,N/A,EVENT_WAIT,42,16,0.020,1784177220818706.010	,1784177220818706.030	
0,N/A,KERNEL_AICPU,42,17,29.140,1784177220818712.570	,1784177220818741.710	
0,N/A,KERNEL_AICPU,43,18,56.501,1784177220818720.770	,1784177220818777.271	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,38.060,1784177220818732.450	,1784177220818770.511	
0,N/A,EVENT_WAIT,43,19,2.100,1784177220818887.353	,1784177220818889.453	
0,N/A,EVENT_RECORD,46,18,0.020,1784177220818888.993	,1784177220818889.013	
0,N/A,EVENT_WAIT,42,18,0.000,1784177220818894.394	,1784177220818894.394	
0,N/A,KERNEL_AICPU,42,19,39.020,1784177220818900.854	,1784177220818939.874	
0,N/A,KERNEL_AICPU,43,20,59.221,1784177220818901.794	,1784177220818961.015	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,19,42.720,1784177220818914.614	,1784177220818957.335	
0,N/A,EVENT_WAIT,43,21,2.660,1784177220819061.317	,1784177220819063.977	
0,N/A,EVENT_RECORD,46,20,0.020,1784177220819063.497	,1784177220819063.517	
0,N/A,EVENT_WAIT,42,20,0.020,1784177220819068.217	,1784177220819068.237	
0,N/A,KERNEL_AICPU,42,21,35.840,1784177220819074.637	,1784177220819110.478	
0,N/A,KERNEL_AICPU,43,22,64.821,1784177220819075.977	,1784177220819140.798	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,21,45.980,1784177220819088.497	,1784177220819134.478	
0,N/A,EVENT_WAIT,43,23,2.620,1784177220819238.200	,1784177220819240.820	
0,N/A,EVENT_RECORD,46,22,0.020,1784177220819240.360	,1784177220819240.380	
0,N/A,EVENT_WAIT,42,22,0.000,1784177220819245.261	,1784177220819245.261	
0,N/A,KERNEL_AICPU,42,23,31.080,1784177220819251.721	,1784177220819282.801	
0,N/A,KERNEL_AICPU,43,24,59.461,1784177220819252.961	,1784177220819312.422	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,23,41.960,1784177220819265.581	,1784177220819307.542	
0,N/A,EVENT_WAIT,43,25,2.380,1784177220819418.644	,1784177220819421.024	
0,N/A,EVENT_RECORD,46,24,0.020,1784177220819420.564	,1784177220819420.584	
0,N/A,EVENT_WAIT,42,24,0.020,1784177220819425.604	,1784177220819425.624	
0,N/A,KERNEL_AICPU,42,25,43.500,1784177220819431.964	,1784177220819475.465	
0,N/A,KERNEL_AICPU,43,26,57.501,1784177220819439.824	,1784177220819497.326	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,25,48.180,1784177220819445.445	,1784177220819493.626	
0,N/A,EVENT_WAIT,43,27,2.460,1784177220819599.748	,1784177220819602.208	
0,N/A,EVENT_RECORD,46,26,0.020,1784177220819601.728	,1784177220819601.748	
0,N/A,EVENT_WAIT,42,26,0.020,1784177220819606.668	,1784177220819606.688	
0,N/A,KERNEL_AICPU,42,27,38.140,1784177220819613.028	,1784177220819651.169	
0,N/A,KERNEL_AICPU,43,28,61.821,1784177220819621.288	,1784177220819683.109	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,27,51.081,1784177220819626.688	,1784177220819677.769	
0,N/A,EVENT_WAIT,43,29,2.480,1784177220819781.351	,1784177220819783.831	
0,N/A,EVENT_RECORD,46,28,0.020,1784177220819783.351	,1784177220819783.371	
0,N/A,EVENT_WAIT,42,28,0.000,1784177220819788.311	,1784177220819788.311	
0,N/A,KERNEL_AICPU,42,29,32.920,1784177220819794.712	,1784177220819827.632	
0,N/A,KERNEL_AICPU,43,30,63.881,1784177220819796.052	,1784177220819859.933	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,29,45.700,1784177220819808.712	,1784177220819854.413	
0,N/A,EVENT_WAIT,43,31,2.440,1784177220819964.135	,1784177220819966.575	
0,N/A,EVENT_RECORD,46,30,0.020,1784177220819966.095	,1784177220819966.115	
0,N/A,EVENT_WAIT,42,30,0.020,1784177220819971.075	,1784177220819971.095	
0,N/A,KERNEL_AICPU,42,31,44.780,1784177220819977.435	,1784177220820022.216	
0,N/A,KERNEL_AICPU,43,32,64.061,1784177220819978.915	,1784177220820042.976	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,31,48.100,1784177220819991.215	,1784177220820039.316	
0,N/A,EVENT_WAIT,43,33,2.120,1784177220820138.878	,1784177220820140.998	
0,N/A,EVENT_RECORD,46,32,0.020,1784177220820140.538	,1784177220820140.558	
0,N/A,EVENT_WAIT,42,32,0.020,1784177220820146.099	,1784177220820146.119	
0,N/A,KERNEL_AICPU,42,33,36.980,1784177220820152.739	,1784177220820189.719	
0,N/A,KERNEL_AICPU,43,34,66.921,1784177220820153.479	,1784177220820220.400	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,33,47.620,1784177220820167.119	,1784177220820214.740	
0,N/A,EVENT_WAIT,43,35,2.520,1784177220820320.042	,1784177220820322.562	
0,N/A,EVENT_RECORD,46,34,0.020,1784177220820322.102	,1784177220820322.122	
0,N/A,EVENT_WAIT,42,34,0.020,1784177220820327.182	,1784177220820327.202	
0,N/A,KERNEL_AICPU,42,35,31.420,1784177220820333.822	,1784177220820365.243	
0,N/A,KERNEL_AICPU,43,36,64.601,1784177220820335.042	,1784177220820399.644	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,35,46.520,1784177220820347.803	,1784177220820394.324	
0,N/A,EVENT_WAIT,43,37,2.420,1784177220820501.586	,1784177220820504.006	
0,N/A,EVENT_RECORD,46,36,0.020,1784177220820503.546	,1784177220820503.566	
0,N/A,EVENT_WAIT,42,36,0.000,1784177220820508.746	,1784177220820508.746	
0,N/A,KERNEL_AICPU,42,37,36.400,1784177220820515.326	,1784177220820551.727	
0,N/A,KERNEL_AICPU,43,38,52.161,1784177220820522.286	,1784177220820574.447	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,37,41.000,1784177220820529.106	,1784177220820570.107	
0,N/A,EVENT_WAIT,43,39,2.580,1784177220820708.590	,1784177220820711.170	
0,N/A,EVENT_RECORD,46,38,0.020,1784177220820710.710	,1784177220820710.730	
0,N/A,EVENT_WAIT,42,38,0.020,1784177220820715.670	,1784177220820715.690	
0,N/A,KERNEL_AICPU,42,39,35.220,1784177220820722.270	,1784177220820757.491	
0,N/A,KERNEL_AICPU,43,40,69.061,1784177220820723.450	,1784177220820792.511	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,39,50.821,1784177220820736.270	,1784177220820787.091	
0,N/A,EVENT_WAIT,43,41,2.440,1784177220820886.913	,1784177220820889.353	
0,N/A,EVENT_RECORD,46,40,0.000,1784177220820888.893	,1784177220820888.893	
0,N/A,EVENT_WAIT,42,40,0.020,1784177220820894.133	,1784177220820894.153	
0,N/A,KERNEL_AICPU,42,41,31.720,1784177220820900.794	,1784177220820932.514	
0,N/A,KERNEL_AICPU,43,42,57.501,1784177220820901.774	,1784177220820959.275	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,41,39.140,1784177220820915.094	,1784177220820954.235	
0,N/A,EVENT_WAIT,43,43,2.560,1784177220821063.677	,1784177220821066.237	
0,N/A,EVENT_RECORD,46,42,0.000,1784177220821065.777	,1784177220821065.777	
0,N/A,EVENT_WAIT,42,42,0.020,1784177220821070.797	,1784177220821070.817	
0,N/A,KERNEL_AICPU,42,43,39.040,1784177220821083.817	,1784177220821122.858	
0,N/A,KERNEL_AICPU,43,44,54.281,1784177220821090.877	,1784177220821145.159	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,43,38.240,1784177220821103.258	,1784177220821141.498	
0,N/A,EVENT_WAIT,43,45,2.660,1784177220821246.221	,1784177220821248.881	
0,N/A,EVENT_RECORD,46,44,0.020,1784177220821248.401	,1784177220821248.421	
0,N/A,EVENT_WAIT,42,44,0.020,1784177220821253.361	,1784177220821253.381	
0,N/A,KERNEL_AICPU,42,45,35.060,1784177220821259.941	,1784177220821295.002	
0,N/A,KERNEL_AICPU,43,46,59.581,1784177220821267.121	,1784177220821326.702	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,45,47.300,1784177220821273.761	,1784177220821321.062	
0,N/A,EVENT_WAIT,43,47,2.540,1784177220821425.044	,1784177220821427.584	
0,N/A,EVENT_RECORD,46,46,0.020,1784177220821427.104	,1784177220821427.124	
0,N/A,EVENT_WAIT,42,46,0.020,1784177220821432.244	,1784177220821432.264	
0,N/A,KERNEL_AICPU,42,47,29.640,1784177220821438.764	,1784177220821468.405	
0,N/A,KERNEL_AICPU,43,48,55.681,1784177220821439.904	,1784177220821495.586	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,47,37.680,1784177220821452.665	,1784177220821490.345	
0,N/A,EVENT_WAIT,43,49,2.680,1784177220821603.408	,1784177220821606.088	
0,N/A,EVENT_RECORD,46,48,0.020,1784177220821605.608	,1784177220821605.628	
0,N/A,EVENT_WAIT,42,48,0.000,1784177220821610.348	,1784177220821610.348	
0,N/A,KERNEL_AICPU,42,49,38.040,1784177220821617.028	,1784177220821655.069	
0,N/A,KERNEL_AICPU,43,50,60.181,1784177220821618.288	,1784177220821678.469	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,49,43.780,1784177220821630.828	,1784177220821674.609	
0,N/A,EVENT_WAIT,43,51,2.400,1784177220821773.191	,1784177220821775.591	
0,N/A,EVENT_RECORD,46,50,0.000,1784177220821775.131	,1784177220821775.131	
0,N/A,EVENT_WAIT,42,50,0.020,1784177220821780.231	,1784177220821780.251	
0,N/A,KERNEL_AICPU,42,51,38.680,1784177220821786.651	,1784177220821825.332	
0,N/A,KERNEL_AICPU,43,52,68.601,1784177220821787.811	,1784177220821856.413	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,51,50.281,1784177220821800.452	,1784177220821850.733	
0,N/A,EVENT_WAIT,43,53,2.580,1784177220821955.835	,1784177220821958.415	
0,N/A,EVENT_RECORD,46,52,0.020,1784177220821957.935	,1784177220821957.955	
0,N/A,EVENT_WAIT,42,52,0.020,1784177220821962.955	,1784177220821962.975	
0,N/A,KERNEL_AICPU,42,53,30.000,1784177220821969.575	,1784177220821999.576	
0,N/A,KERNEL_AICPU,43,54,56.401,1784177220821970.595	,1784177220822026.996	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,53,39.760,1784177220821983.455	,1784177220822023.216	
0,N/A,EVENT_WAIT,43,55,2.460,1784177220822149.999	,1784177220822152.459	
0,N/A,EVENT_RECORD,46,54,0.020,1784177220822151.979	,1784177220822151.999	
0,N/A,EVENT_WAIT,42,54,0.020,1784177220822156.899	,1784177220822156.919	
0,N/A,KERNEL_AICPU,42,55,41.480,1784177220822163.459	,1784177220822204.940	
0,N/A,KERNEL_AICPU,43,56,54.841,1784177220822170.619	,1784177220822225.460	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,55,44.620,1784177220822177.139	,1784177220822221.760	
0,N/A,EVENT_WAIT,43,57,2.600,1784177220822329.262	,1784177220822331.862	
0,N/A,EVENT_RECORD,46,56,0.020,1784177220822331.222	,1784177220822331.242	
0,N/A,EVENT_WAIT,42,56,0.020,1784177220822336.462	,1784177220822336.482	
0,N/A,KERNEL_AICPU,42,57,33.440,1784177220822342.902	,1784177220822376.343	
0,N/A,KERNEL_AICPU,43,58,58.961,1784177220822349.243	,1784177220822408.204	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,57,44.760,1784177220822356.503	,1784177220822401.264	
0,N/A,EVENT_WAIT,43,59,2.520,1784177220822513.926	,1784177220822516.446	
0,N/A,EVENT_RECORD,46,58,0.020,1784177220822515.966	,1784177220822515.986	
0,N/A,EVENT_WAIT,42,58,0.000,1784177220822520.946	,1784177220822520.946	
0,N/A,KERNEL_AICPU,42,59,30.560,1784177220822527.346	,1784177220822557.907	
0,N/A,KERNEL_AICPU,43,60,58.961,1784177220822528.806	,1784177220822587.767	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,59,41.060,1784177220822541.326	,1784177220822582.387	
0,N/A,EVENT_WAIT,43,61,2.580,1784177220822690.889	,1784177220822693.469	
0,N/A,EVENT_RECORD,46,60,0.020,1784177220822692.989	,1784177220822693.009	
0,N/A,EVENT_WAIT,42,60,0.000,1784177220822697.870	,1784177220822697.870	
0,N/A,KERNEL_AICPU,42,61,37.400,1784177220822704.370	,1784177220822741.770	
0,N/A,KERNEL_AICPU,43,62,58.801,1784177220822705.830	,1784177220822764.631	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,61,42.460,1784177220822718.250	,1784177220822760.711	
0,N/A,EVENT_WAIT,43,63,2.440,1784177220822860.313	,1784177220822862.753	
0,N/A,EVENT_RECORD,46,62,0.020,1784177220822862.273	,1784177220822862.293	
0,N/A,EVENT_WAIT,42,62,0.020,1784177220822867.313	,1784177220822867.333	
0,N/A,KERNEL_AICPU,42,63,43.140,1784177220822873.953	,1784177220822917.094	
0,N/A,KERNEL_AICPU,43,64,60.101,1784177220822886.513	,1784177220822946.615	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,63,40.900,1784177220822900.514	,1784177220822941.414	
0,N/A,EVENT_RECORD,46,64,0.000,1784177220823079.417	,1784177220823079.417	
0,N/A,EVENT_WAIT,43,65,0.020,1784177220823187.719	,1784177220823187.739	
0,N/A,KERNEL_AICPU,42,64,24.720,1784177220823194.959	,1784177220823219.680	
0,N/A,KERNEL_AICPU,43,66,49.340,1784177220823207.720	,1784177220823257.061	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,65,36.320,1784177220823215.840	,1784177220823252.161	
0,N/A,EVENT_WAIT,43,67,2.500,1784177220823373.183	,1784177220823375.683	
0,N/A,EVENT_RECORD,46,66,0.020,1784177220823375.223	,1784177220823375.243	
0,N/A,EVENT_WAIT,42,65,0.020,1784177220823380.223	,1784177220823380.243	
0,N/A,KERNEL_AICPU,42,66,40.020,1784177220823386.903	,1784177220823426.924	
0,N/A,KERNEL_AICPU,43,68,56.981,1784177220823394.943	,1784177220823451.925	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,67,45.260,1784177220823401.044	,1784177220823446.304	
0,N/A,EVENT_WAIT,43,69,2.340,1784177220823539.526	,1784177220823541.866	
0,N/A,EVENT_RECORD,46,68,0.020,1784177220823541.406	,1784177220823541.426	
0,N/A,EVENT_WAIT,42,67,0.020,1784177220823546.706	,1784177220823546.726	
0,N/A,KERNEL_AICPU,42,68,36.520,1784177220823553.287	,1784177220823589.807	
0,N/A,KERNEL_AICPU,43,70,64.881,1784177220823554.267	,1784177220823619.148	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,69,45.900,1784177220823567.447	,1784177220823613.348	
0,N/A,EVENT_WAIT,43,71,2.400,1784177220823697.750	,1784177220823700.150	
0,N/A,EVENT_RECORD,46,70,0.020,1784177220823699.710	,1784177220823699.730	
0,N/A,EVENT_WAIT,42,69,0.000,1784177220823704.850	,1784177220823704.850	
0,N/A,KERNEL_AICPU,42,70,34.960,1784177220823711.370	,1784177220823746.330	
0,N/A,KERNEL_AICPU,43,72,61.261,1784177220823712.530	,1784177220823773.791	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,71,43.560,1784177220823725.490	,1784177220823769.051	
0,N/A,EVENT_WAIT,43,73,2.400,1784177220823859.293	,1784177220823861.693	
0,N/A,EVENT_RECORD,46,72,0.020,1784177220823861.233	,1784177220823861.253	
0,N/A,EVENT_WAIT,42,71,0.020,1784177220823866.453	,1784177220823866.473	
0,N/A,KERNEL_AICPU,42,72,45.700,1784177220823872.953	,1784177220823918.654	
0,N/A,KERNEL_AICPU,43,74,65.621,1784177220823874.033	,1784177220823939.654	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,73,49.040,1784177220823886.913	,1784177220823935.954	
0,N/A,EVENT_RECORD,46,74,0.020,1784177220824020.996	,1784177220824021.016	
0,N/A,EVENT_WAIT,43,75,0.020,1784177220824022.156	,1784177220824022.176	
0,N/A,EVENT_WAIT,42,73,0.000,1784177220824028.076	,1784177220824028.076	
0,N/A,KERNEL_AICPU,42,74,36.760,1784177220824034.596	,1784177220824071.357	
0,N/A,KERNEL_AICPU,43,76,65.961,1784177220824041.036	,1784177220824106.998	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,75,51.881,1784177220824048.577	,1784177220824100.458	
0,N/A,EVENT_WAIT,43,77,2.180,1784177220824184.359	,1784177220824186.539	
0,N/A,EVENT_RECORD,46,76,0.020,1784177220824186.079	,1784177220824186.099	
0,N/A,EVENT_WAIT,42,75,0.000,1784177220824191.299	,1784177220824191.299	
0,N/A,KERNEL_AICPU,42,76,45.280,1784177220824197.820	,1784177220824243.100	
0,N/A,KERNEL_AICPU,43,78,67.401,1784177220824205.260	,1784177220824272.661	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,77,55.641,1784177220824211.920	,1784177220824267.561	
0,N/A,EVENT_WAIT,43,79,2.320,1784177220824352.143	,1784177220824354.463	
0,N/A,EVENT_RECORD,46,78,0.020,1784177220824354.023	,1784177220824354.043	
0,N/A,EVENT_WAIT,42,77,0.020,1784177220824359.203	,1784177220824359.223	
0,N/A,KERNEL_AICPU,42,78,44.880,1784177220824365.623	,1784177220824410.504	
0,N/A,KERNEL_AICPU,43,80,63.781,1784177220824366.743	,1784177220824430.524	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,79,47.320,1784177220824379.643	,1784177220824426.964	
0,N/A,EVENT_WAIT,43,81,2.300,1784177220824511.266	,1784177220824513.566	
0,N/A,EVENT_RECORD,46,80,0.020,1784177220824513.106	,1784177220824513.126	
0,N/A,EVENT_WAIT,42,79,0.020,1784177220824518.326	,1784177220824518.346	
0,N/A,KERNEL_AICPU,42,80,36.400,1784177220824524.726	,1784177220824561.127	
0,N/A,KERNEL_AICPU,43,82,63.481,1784177220824525.846	,1784177220824589.327	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,81,44.760,1784177220824538.906	,1784177220824583.667	
0,N/A,EVENT_WAIT,43,83,2.560,1784177220824689.969	,1784177220824692.529	
0,N/A,EVENT_RECORD,46,82,0.000,1784177220824691.989	,1784177220824691.989	
0,N/A,EVENT_WAIT,42,81,0.020,1784177220824696.849	,1784177220824696.869	
0,N/A,KERNEL_AICPU,42,82,37.460,1784177220824703.270	,1784177220824740.730	
0,N/A,KERNEL_AICPU,43,84,66.921,1784177220824704.750	,1784177220824771.671	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,83,49.901,1784177220824717.150	,1784177220824767.051	
0,N/A,EVENT_RECORD,46,84,0.020,1784177220824856.353	,1784177220824856.373	
0,N/A,EVENT_WAIT,43,85,0.020,1784177220824857.753	,1784177220824857.773	
0,N/A,EVENT_WAIT,42,83,0.000,1784177220824863.293	,1784177220824863.293	
0,N/A,KERNEL_AICPU,42,84,43.660,1784177220824869.633	,1784177220824913.294	
0,N/A,KERNEL_AICPU,43,86,55.721,1784177220824878.953	,1784177220824934.674	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,85,47.620,1784177220824882.993	,1784177220824930.614	
0,N/A,EVENT_WAIT,43,87,2.440,1784177220825018.396	,1784177220825020.836	
0,N/A,EVENT_RECORD,46,86,0.000,1784177220825020.376	,1784177220825020.376	
0,N/A,EVENT_WAIT,42,85,0.020,1784177220825025.416	,1784177220825025.436	
0,N/A,KERNEL_AICPU,42,86,34.340,1784177220825031.976	,1784177220825066.317	
0,N/A,KERNEL_AICPU,43,88,55.801,1784177220825039.356	,1784177220825095.157	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,87,43.720,1784177220825045.856	,1784177220825089.577	
0,N/A,EVENT_WAIT,43,89,2.320,1784177220825189.339	,1784177220825191.659	
0,N/A,EVENT_RECORD,46,88,0.020,1784177220825191.179	,1784177220825191.199	
0,N/A,EVENT_WAIT,42,87,0.000,1784177220825196.299	,1784177220825196.299	
0,N/A,KERNEL_AICPU,42,88,35.180,1784177220825202.560	,1784177220825237.740	
0,N/A,KERNEL_AICPU,43,90,65.521,1784177220825203.700	,1784177220825269.221	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,89,48.180,1784177220825216.380	,1784177220825264.561	
0,N/A,EVENT_WAIT,43,91,2.580,1784177220825353.923	,1784177220825356.503	
0,N/A,EVENT_RECORD,46,90,0.020,1784177220825356.023	,1784177220825356.043	
0,N/A,EVENT_WAIT,42,89,0.000,1784177220825360.963	,1784177220825360.963	
0,N/A,KERNEL_AICPU,42,90,42.660,1784177220825367.323	,1784177220825409.984	
0,N/A,KERNEL_AICPU,43,92,63.741,1784177220825368.623	,1784177220825432.364	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,91,47.120,1784177220825381.083	,1784177220825428.204	
0,N/A,EVENT_WAIT,43,93,2.480,1784177220825510.106	,1784177220825512.586	
0,N/A,EVENT_RECORD,46,92,0.020,1784177220825512.126	,1784177220825512.146	
0,N/A,EVENT_WAIT,42,91,0.000,1784177220825517.026	,1784177220825517.026	
0,N/A,KERNEL_AICPU,42,92,35.580,1784177220825523.506	,1784177220825559.087	
0,N/A,KERNEL_AICPU,43,94,65.061,1784177220825524.826	,1784177220825589.887	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,93,46.860,1784177220825537.366	,1784177220825584.227	
0,N/A,EVENT_RECORD,46,94,0.020,1784177220825667.389	,1784177220825667.409	
0,N/A,EVENT_WAIT,43,95,0.020,1784177220825668.849	,1784177220825668.869	
0,N/A,EVENT_WAIT,42,93,0.000,1784177220825674.389	,1784177220825674.389	
0,N/A,KERNEL_AICPU,42,94,33.940,1784177220825680.769	,1784177220825714.710	
0,N/A,KERNEL_AICPU,43,96,52.101,1784177220825687.989	,1784177220825740.090	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,95,41.780,1784177220825694.209	,1784177220825735.990	
0,N/A,EVENT_WAIT,43,97,2.460,1784177220825842.052	,1784177220825844.512	
0,N/A,EVENT_RECORD,46,96,0.020,1784177220825844.032	,1784177220825844.052	
0,N/A,EVENT_WAIT,42,95,0.020,1784177220825848.972	,1784177220825848.992	
0,N/A,KERNEL_AICPU,42,96,37.620,1784177220825855.593	,1784177220825893.213	
0,N/A,KERNEL_AICPU,43,98,56.741,1784177220825856.813	,1784177220825913.554	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,97,40.320,1784177220825869.393	,1784177220825909.714	
0,N/A,EVENT_WAIT,43,99,2.440,1784177220826001.896	,1784177220826004.336	
0,N/A,EVENT_RECORD,46,98,0.020,1784177220826003.876	,1784177220826003.896	
0,N/A,EVENT_WAIT,42,97,0.020,1784177220826009.056	,1784177220826009.076	
