Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177031138560.970	,1784177031138560.990	
0,N/A,TASK_TIMEOUT_SET,49,4,97.721,1784177031147916.877	,1784177031148014.599	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,0,10.040,1784177031237127.239	,1784177031237137.279	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,1,3.020,1784177031237280.342	,1784177031237283.362	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,2,2.780,1784177031237318.223	,1784177031237321.003	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,3,2.760,1784177031237324.783	,1784177031237327.543	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,4,2.600,1784177031237331.323	,1784177031237333.923	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,5,2.600,1784177031237344.663	,1784177031237347.263	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,6,3.040,1784177031237351.424	,1784177031237354.464	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,7,2.800,1784177031237358.064	,1784177031237360.864	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,8,2.540,1784177031237364.524	,1784177031237367.064	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,9,2.740,1784177031237370.964	,1784177031237373.704	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,10,2.720,1784177031237378.064	,1784177031237380.784	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,11,2.700,1784177031237390.904	,1784177031237393.604	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,12,2.500,1784177031237397.584	,1784177031237400.084	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,13,2.520,1784177031237404.205	,1784177031237406.725	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,14,2.740,1784177031237410.785	,1784177031237413.525	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,15,2.720,1784177031237436.545	,1784177031237439.265	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,16,2.740,1784177031237443.045	,1784177031237445.785	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,17,3.040,1784177031237449.585	,1784177031237452.626	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,18,2.940,1784177031237462.346	,1784177031237465.286	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,19,2.660,1784177031237468.746	,1784177031237471.406	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,20,2.660,1784177031237475.426	,1784177031237478.086	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,21,2.700,1784177031237481.806	,1784177031237484.506	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,22,2.980,1784177031237494.626	,1784177031237497.606	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,23,2.960,1784177031237501.167	,1784177031237504.127	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,24,2.900,1784177031237507.707	,1784177031237510.607	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,25,2.640,1784177031237513.967	,1784177031237516.607	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,26,3.000,1784177031237520.707	,1784177031237523.707	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,27,2.880,1784177031237533.347	,1784177031237536.227	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,28,2.740,1784177031237539.827	,1784177031237542.567	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,29,2.700,1784177031237546.227	,1784177031237548.927	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,30,3.120,1784177031237559.648	,1784177031237562.768	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,31,2.840,1784177031237566.188	,1784177031237569.028	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,32,2.480,1784177031237572.868	,1784177031237575.348	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,33,2.520,1784177031237579.708	,1784177031237582.228	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,34,2.720,1784177031237586.408	,1784177031237589.128	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,35,3.220,1784177031237593.168	,1784177031237596.388	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,36,2.800,1784177031237599.928	,1784177031237602.729	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,37,2.600,1784177031237606.669	,1784177031237609.269	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,38,2.820,1784177031237620.409	,1784177031237623.229	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,39,2.820,1784177031237627.109	,1784177031237629.929	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,40,2.460,1784177031237633.849	,1784177031237636.309	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,41,2.500,1784177031237640.489	,1784177031237642.989	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,42,2.740,1784177031237647.289	,1784177031237650.029	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,43,2.740,1784177031237653.930	,1784177031237656.670	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,44,2.500,1784177031237667.450	,1784177031237669.950	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,45,2.520,1784177031237674.110	,1784177031237676.630	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,46,3.200,1784177031237680.610	,1784177031237683.810	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,47,2.560,1784177031237687.530	,1784177031237690.090	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,48,2.800,1784177031237694.310	,1784177031237697.110	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,49,2.740,1784177031237700.711	,1784177031237703.451	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,50,2.980,1784177031237707.331	,1784177031237710.311	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,51,2.900,1784177031237714.211	,1784177031237717.111	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,52,2.740,1784177031237726.811	,1784177031237729.551	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,53,2.960,1784177031237733.611	,1784177031237736.571	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,54,3.000,1784177031237739.951	,1784177031237742.951	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,55,3.000,1784177031237746.411	,1784177031237749.411	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,56,2.680,1784177031237753.332	,1784177031237756.012	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,57,2.600,1784177031237766.672	,1784177031237769.272	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,58,2.820,1784177031237773.072	,1784177031237775.892	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,59,2.780,1784177031237779.652	,1784177031237782.432	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,60,2.580,1784177031237786.052	,1784177031237788.632	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,61,2.620,1784177031237792.492	,1784177031237795.112	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,62,2.620,1784177031237799.032	,1784177031237801.653	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,63,2.860,1784177031237805.493	,1784177031237808.353	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,64,2.560,1784177031237820.853	,1784177031237823.413	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,65,2.500,1784177031237827.993	,1784177031237830.493	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,66,2.560,1784177031237840.693	,1784177031237843.253	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,67,2.820,1784177031237847.613	,1784177031237850.433	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,68,2.540,1784177031237860.514	,1784177031237863.054	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,69,2.500,1784177031237867.134	,1784177031237869.634	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,70,3.180,1784177031237874.034	,1784177031237877.214	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,71,2.680,1784177031237886.934	,1784177031237889.614	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,72,2.540,1784177031237893.454	,1784177031237895.994	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,73,2.740,1784177031237900.374	,1784177031237903.115	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,74,2.840,1784177031237906.995	,1784177031237909.835	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,75,2.800,1784177031237913.635	,1784177031237916.435	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,76,2.660,1784177031237920.275	,1784177031237922.935	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,77,2.620,1784177031237933.535	,1784177031237936.155	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,78,2.800,1784177031237940.035	,1784177031237942.835	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,79,2.800,1784177031237946.895	,1784177031237949.695	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,80,2.800,1784177031237953.136	,1784177031237955.936	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,81,2.820,1784177031237959.916	,1784177031237962.736	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,82,2.960,1784177031237972.636	,1784177031237975.596	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,83,2.660,1784177031237979.196	,1784177031237981.856	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,84,2.700,1784177031237985.636	,1784177031237988.336	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,85,2.760,1784177031237992.376	,1784177031237995.136	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,86,2.940,1784177031237998.796	,1784177031238001.737	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,87,2.880,1784177031238012.317	,1784177031238015.197	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,88,3.400,1784177031238018.837	,1784177031238022.237	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,89,2.720,1784177031238025.177	,1784177031238027.897	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,90,2.940,1784177031238031.477	,1784177031238034.417	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,91,2.900,1784177031238038.057	,1784177031238040.957	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,92,2.680,1784177031238044.437	,1784177031238047.117	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,93,2.720,1784177031238060.918	,1784177031238063.638	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,94,3.020,1784177031238067.278	,1784177031238070.298	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,95,2.940,1784177031238081.358	,1784177031238084.298	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,96,2.540,1784177031238088.198	,1784177031238090.738	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,97,2.480,1784177031238094.738	,1784177031238097.218	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,98,2.740,1784177031238101.659	,1784177031238104.399	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,99,2.700,1784177031238108.359	,1784177031238111.059	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,100,2.640,1784177031238115.099	,1784177031238117.739	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,101,2.480,1784177031238122.119	,1784177031238124.599	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,102,2.700,1784177031238135.319	,1784177031238138.019	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,103,2.700,1784177031238142.059	,1784177031238144.759	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,104,2.580,1784177031238148.699	,1784177031238151.280	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,105,2.580,1784177031238161.820	,1784177031238164.400	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,106,2.780,1784177031238168.460	,1784177031238171.240	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,107,2.780,1784177031238175.140	,1784177031238177.920	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,108,2.640,1784177031238181.900	,1784177031238184.540	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,109,2.540,1784177031238188.460	,1784177031238191.000	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,110,2.780,1784177031238195.120	,1784177031238197.900	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,111,2.580,1784177031238201.661	,1784177031238204.241	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,112,2.680,1784177031238208.321	,1784177031238211.001	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,113,2.640,1784177031238214.741	,1784177031238217.381	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,114,2.860,1784177031238221.581	,1784177031238224.441	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,115,2.940,1784177031238234.441	,1784177031238237.381	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,116,2.720,1784177031238240.941	,1784177031238243.661	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,117,2.920,1784177031238247.421	,1784177031238250.341	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,118,3.160,1784177031238254.162	,1784177031238257.322	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,119,2.940,1784177031238260.702	,1784177031238263.642	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,120,2.800,1784177031238267.622	,1784177031238270.422	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,121,2.740,1784177031238280.242	,1784177031238282.982	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,122,2.980,1784177031238286.862	,1784177031238289.842	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,123,2.960,1784177031238293.342	,1784177031238296.302	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,124,2.760,1784177031238299.962	,1784177031238302.723	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,125,2.800,1784177031238313.383	,1784177031238316.183	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,126,2.820,1784177031238319.903	,1784177031238322.723	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,127,2.980,1784177031238326.483	,1784177031238329.463	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,128,2.760,1784177031238341.963	,1784177031238344.723	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,129,2.720,1784177031238348.583	,1784177031238351.303	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,130,2.700,1784177031238355.504	,1784177031238358.204	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,131,2.880,1784177031238368.164	,1784177031238371.044	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,132,2.700,1784177031238374.624	,1784177031238377.324	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,133,2.760,1784177031238381.224	,1784177031238383.984	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,134,2.960,1784177031238388.184	,1784177031238391.144	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,135,2.940,1784177031238400.824	,1784177031238403.765	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,136,2.700,1784177031238407.385	,1784177031238410.085	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,137,2.820,1784177031238413.985	,1784177031238416.805	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,138,2.840,1784177031238420.445	,1784177031238423.285	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,139,2.800,1784177031238435.545	,1784177031238438.345	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,140,2.620,1784177031238442.285	,1784177031238444.905	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,141,2.620,1784177031238448.985	,1784177031238451.606	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,142,2.880,1784177031238455.526	,1784177031238458.406	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,143,2.880,1784177031238462.166	,1784177031238465.046	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,144,2.580,1784177031238468.606	,1784177031238471.186	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,145,2.560,1784177031238474.986	,1784177031238477.546	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,146,3.000,1784177031238481.466	,1784177031238484.466	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,147,2.620,1784177031238488.446	,1784177031238491.066	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,148,2.500,1784177031238501.186	,1784177031238503.687	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,149,2.600,1784177031238507.687	,1784177031238510.287	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,150,2.760,1784177031238514.027	,1784177031238516.787	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,151,2.760,1784177031238520.487	,1784177031238523.247	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,152,2.640,1784177031238533.487	,1784177031238536.127	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,153,2.500,1784177031238539.987	,1784177031238542.487	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,154,2.740,1784177031238546.387	,1784177031238549.127	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,155,2.820,1784177031238552.908	,1784177031238555.728	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,156,2.600,1784177031238565.768	,1784177031238568.368	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,157,2.560,1784177031238572.368	,1784177031238574.928	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,158,2.780,1784177031238578.968	,1784177031238581.748	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,159,2.760,1784177031238585.468	,1784177031238588.228	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,160,2.740,1784177031238592.208	,1784177031238594.948	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,161,2.700,1784177031238598.908	,1784177031238601.608	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,162,2.940,1784177031238605.489	,1784177031238608.429	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,163,2.920,1784177031238612.249	,1784177031238615.169	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,164,2.860,1784177031238618.749	,1784177031238621.609	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,165,2.760,1784177031238625.509	,1784177031238628.269	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,166,3.020,1784177031238638.629	,1784177031238641.649	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,167,2.960,1784177031238645.289	,1784177031238648.249	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,168,2.740,1784177031238651.970	,1784177031238654.710	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,169,2.680,1784177031238658.850	,1784177031238661.530	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,170,2.880,1784177031238665.510	,1784177031238668.390	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,171,2.840,1784177031238672.210	,1784177031238675.050	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,172,2.660,1784177031238685.370	,1784177031238688.030	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,173,2.700,1784177031238692.090	,1784177031238694.790	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,174,2.920,1784177031238698.750	,1784177031238701.670	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,175,2.680,1784177031238705.491	,1784177031238708.171	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,176,2.600,1784177031238711.891	,1784177031238714.491	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,177,2.500,1784177031238718.351	,1784177031238720.851	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,178,3.060,1784177031238724.711	,1784177031238727.771	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,179,2.640,1784177031238731.391	,1784177031238734.031	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,180,2.500,1784177031238738.091	,1784177031238740.591	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,181,2.700,1784177031238744.571	,1784177031238747.271	
